model_type,fold,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
title,1,0.7429022082018928,0.7300776387603332,0.7421158521151031,0.7344704204240505,0.7263885861008162
title,2,0.7424960505529226,0.7292437411000511,0.7415890017153528,0.7344605475040257,0.7249081998390755
title,3,0.7140600315955766,0.7017263196573542,0.7149857975548448,0.6980095068330363,0.7063742327409998
title,4,0.7124802527646129,0.6928560964078416,0.7102734028492163,0.7048796339678738,0.6851827693816525
title,5,0.7045813586097947,0.6901866722952986,0.7032542649701168,0.7028199183191104,0.6821092278719397
